akur|agree, get along well|accord||akkoord||Dutch||
ala|in style of|à la||||||
angket|inquiry|enquête||enquête||Dutch||
apanase|apanage|apanage|apanage|||||
argot|argot, secret language|argot|argot|||||
arsip|archives|archives||archief||Dutch||
atase|attaché|attaché|attaché|attaché|attaché|Dutch||
avant-garde|avant-garde|avant-garde|avant-garde|avant-garde|avant-garde|Dutch||
brevet|certificate, patent|brevet|certificate, patent|||||
bugenfil|bougainvillea|bougainville|bougainvillea|bougainvillea|bougainvillea|Dutch||
bulat|round|boulette|round|||||
chauvinisme|chauvinism|chauvinisme|chauvinism|||||
didong|French|dis donc!||||||
didon|French|dis donc!||||||
doble|gold-plated work|doublé|to double, duplicate|||||
duble|gold-plated work|doublé|to double, duplicate|||||
domisili|domicile|domicile|domicile|||||
drèsoar|buffet|dressoir|dresser, sideboard|||||
entrepeneur|entrepreneur|entrepreneur|entrepreneur|entrepreneur|entrepreneur|English||
gala|1. first, 2. festive|galer|(Old) to have fun; to enjoy oneself|gala|ball (formal dance)|Dutch||
garnisun|garrison|garnison|garrison|garnisoen|garrison|Dutch||
guillotine|guillotine|guillotine|guillotine|||||
impromptu|improvised action|impromptu|improvised action|||||
intrik|intrigue|intrigue|intrigue|intrige|intrigue|Dutch||
kulot|shorts|culotte|panties, shorts|||||
kado|gift|cadeau|gift|cadeau, kado|gift|Dutch||
kampanye|campaign|campagne|campaign|campagne|campaign|Dutch||
karantina|quarantine|quarantine|quarantine|quarantaine|quarantine|Dutch||
karoseri|the body of vehicle, car, coach, or bus|carrosserie|bodywork, body (of car)|carrosserie|body, bodywork of a motorized vehicle.|Dutch||
klise|cliche|cliché|cliche|cliché|cliche|Dutch||
kondèktur|conductor (ticket-related)|conducteur|driver|conducteur|conductor (ticket-related)|Dutch||
kornet|cornet, a brass instrument|cornet à pistons|cornet, a brass instrument|||||
kudeta|coup d'état|coup d'état|coup d'état|||||
kupe|train seat|coupé|car|||||
legiun|legion|légion|legion|legioen|legion|Dutch||
letnan|lieutenant|lieutenant|lieutenant|luitenant|lieutenant|Dutch||
libur|free (from activities)|libre||||||
manuver|maneuver|manœuvre|maneuver|manoeuvre|maneuver|Dutch||
mayones|mayonnaise|mayonnaise|mayonnaise|||||
mèmoar|memoirs|mémoire|memoirs|||||
milieu|milieu|milieu|milieu|milieu|milieu|Dutch||
monseigneur|monsignor|monseigneur|monsignor|monseigneur|monsignor|Dutch||
première|premiere|première|first|première|premiere|Dutch, English||
pual|voile|voile|1. veil. 2. sail|||||
restan|remnant, remainder|restant|remnant, remainder|restant|remnant, remainder|Dutch||
sabotase|sabotage|sabotage|sabotage|sabotage|sabotage|Dutch||
sepeda|bicycle|vélocipède|bicycle|||||
supir|driver|chauffeur|driver|chauffeur|driver|Dutch||
tante|aunt|tante|aunt|||||
tiras|circulation, of newspaper or magazine|tirage||||||
trotoar|sidewalk|trottoir|sidewalk|troittoir||||
