adem|cool temperature|adhem
adiluhung|refined, highly sophisticated taste|adiluhung
adiluhur|refined, highly sophisticated taste|adiluhung
amblas|vanish|ambles
ambruk|collapse|ambruk
among|nurture|among
ampuh|potent|ampuh
anggun|graceful|anggun
angker|haunted|angker
anjlok|dropped|anjlog
antek|stooge|antek
anyar|new|anyar
apik|neat, nice|apik
asri|beautiful (scenery/nature), neat, clean, nice|asri
ayu|beautiful (women), pretty, gorgeous, graceful, elegant|ayu
ayom|give shade, foster, protect|ayom, hangayomi
baluwarti|palace fortified wall|baluwerti (ultimately from Spanish 'baluarte' via Filipino languages)
bangsal|hall|bangsal, ultimately from Sanskrit: sala (room)
batik|batik|mbatik, from: amba-nitik
bejat|depraved|bejat
beres|completed|beres
betot|pull suddenly|betot
bopong|carry|bopong
brandal|thugs|brandalan
bromocorah|criminal|bromocorah
buron|runaway or fugitive|buron: from buru-an (to be hunted)
buronan|runaway or fugitive|buron: from buru-an (to be hunted)
candi|temple|candhi
canggih|sophisticated|canggih
cebol|midget|cebol
celingukan|look around|celingukan
ceplas ceplos|speak out frankly|ceplas ceplos
copet|pickpocket|copet
dengkul|knee|dengkul
doyan|be fond|doyan
edan|crazy|edhan
empu|maestro, master craftsman|mpu
ganteng|handsome|ngganteng
gebrakan|blow|gebrakan
gede|big|gede
gembok|padlock|gembok
gendong|piggyback|gendong
gerebek|raid|grebeg: traditional ceremony involving mass competing to grab sacred objects
gilas|run over|giles
gosong|scorched|gosong
irit|frugal|irit
jagal|butcher|jagal
jago|skillful, expert|jago: rooster
jagoan|tough guy, hero|jago: rooster
jajan|snack|jajan
kedut|twitching|kedutan
kemben|torso wrap|kembhen
kesurupan|possessed|surup: fit, enter
konde|bulbous hairdo or hair extension on the back of the head|kondhe
lara|sadness (poetic)|lara: sickness
larung|intentionally swept or send away through water (river/sea)|larung
lapik|base|lapik
luhur|noble, high|dhuwur, luhur
manut|obedient|manut
melengos|looked away|melengos
merica|black pepper|merica
minggat|flee|minggat
mumpuni|accomplished|mumpuni
nganggur|idle, jobless|nganggur
nusantara|Indonesian archipelago, archipelago|nusantara
pagar langkan|balustrade|pagar langkan
pamrih|intention|pamrih
pemirsa|viewers|pemirsa
pendopo|roofed front open hall|pendhopo, ultimately from Sanskrit: mandapa (front hall as part of temple)
pilek|flu|pilek
resik|clean, well maintained|resik
sedot|suck|sedot
selaras|harmonious|slaras
selingkuh|affair|selingkuh
semberono|careless|sembrono
semrawut|complicated mess, out of order|semrawut
sungkan|shy|sungkan
tembang|song|tembang
tentram|peaceful|tentrem
titisan|reincarnated|nitis
tuntas|complete|tuntas
undakan|stages|undhak
unduh|download|unduh
unggah|upload|munggah
umpak|base|umpak
